experiment,run,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9
training_sensation_10_prefix_sd_entropy,1,0.62679,0.58612,0.65789,0.66268,0.67703,0.69856,0.7201,0.74641,0.77033,0.7488
training_sensation_10_prefix_sd_entropy,2,0.69378,0.68421,0.69139,0.70813,0.689,0.66986,0.66029,0.7201,0.74402,0.73684
training_sensation_10_prefix_sd_entropy,3,0.73923,0.52632,0.62201,0.64115,0.67703,0.68421,0.71292,0.72249,0.75359,0.73923
training_sensation_10_prefix_sd_random,1,0.62679,0.61962,0.57177,0.61005,0.5933,0.63636,0.70813,0.65311,0.72488,0.7201
training_sensation_10_prefix_sd_random,2,0.74163,0.74163,0.73445,0.6244,0.59809,0.67703,0.63158,0.67943,0.71531,0.70096
training_sensation_10_prefix_sd_random,3,0.60766,0.58852,0.61962,0.61962,0.6866,0.67464,0.66746,0.69139,0.72967,0.71053
training_sensation_10_prefix_sds2_coreset,1,0.71053,0.57656,0.59091,0.55742,0.64833,0.5933,0.55263,0.60287,0.58134,0.58134
training_sensation_10_prefix_sds2_coreset,2,0.69378,0.63158,0.60048,0.65311,0.62679,0.66029,0.65311,0.70813,0.6866,0.72249
training_sensation_10_prefix_sds2_coreset,3,0.73923,0.52632,0.52632,0.60766,0.66986,0.64354,0.66986,0.66507,0.64833,0.65311
training_sensation_10_prefix_sds2_entropy,1,0.62679,0.64354,0.67943,0.6866,0.63636,0.70574,0.71531,0.72249,0.75359,0.71531
training_sensation_10_prefix_sds2_entropy,2,0.69378,0.69139,0.73684,0.70813,0.70335,0.73445,0.7177,0.76316,0.77273,0.77273
training_sensation_10_prefix_sds2_entropy,3,0.73923,0.61483,0.68182,0.65789,0.67943,0.69378,0.72249,0.70574,0.7488,0.74641
training_sensation_10_prefix_sds2_random,1,0.62679,0.61962,0.58134,0.59091,0.6244,0.62919,0.64593,0.68182,0.66746,0.71531
training_sensation_10_prefix_sds2_random,2,0.74163,0.74163,0.70096,0.63397,0.6244,0.61962,0.66986,0.61244,0.68182,0.67703
training_sensation_10_prefix_sds2_random,3,0.60766,0.56938,0.60526,0.61483,0.65072,0.6555,0.69617,0.689,0.70096,0.68421
