experiment,run,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
training_sensation_10_prefix_sd_random,3,0.55142,0.5277,0.56425,0.56425,0.59234,0.58991,0.59279,0.63277,0.65247,0.64189
training_sensation_10_prefix_sds2_coreset,1,0.44543,0.49613,0.49126,0.53437,0.5505,0.54515,0.53775,0.5672,0.55538,0.54833
training_sensation_10_prefix_sds2_coreset,2,0.50054,0.55648,0.53867,0.59781,0.57494,0.59104,0.56631,0.60181,0.62,0.65022
training_sensation_10_prefix_sds2_coreset,3,0.42503,0.47559,0.51012,0.55808,0.5947,0.57389,0.60256,0.59869,0.606,0.62252
training_sensation_10_prefix_sds2_entropy,1,0.53949,0.56778,0.56264,0.54881,0.5136,0.56975,0.61546,0.60495,0.63684,0.62968
training_sensation_10_prefix_sds2_entropy,2,0.50054,0.50382,0.59389,0.58757,0.60062,0.64131,0.59512,0.65902,0.63801,0.66505
training_sensation_10_prefix_sds2_entropy,3,0.42503,0.55525,0.59331,0.58107,0.60842,0.61404,0.63347,0.62389,0.65613,0.66713
training_sensation_10_prefix_sds2_random,1,0.53949,0.5342,0.50841,0.53495,0.55897,0.54126,0.58151,0.59785,0.60063,0.64018
training_sensation_10_prefix_sds2_random,2,0.42582,0.42582,0.45438,0.53215,0.55306,0.5342,0.5584,0.55157,0.59096,0.59622
training_sensation_10_prefix_sds2_random,3,0.55142,0.5307,0.54043,0.56998,0.59076,0.57919,0.62606,0.61425,0.63195,0.61426
