experiment,run,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9
training_sensation_10_prefix_sd_coreset,1,0.4911,0.51374,0.4997,0.52213,0.61075,0.6069,0.58641,0.63068,0.62043,0.61685
training_sensation_10_prefix_sd_coreset,2,0.51299,0.59812,0.55771,0.62434,0.64083,0.67542,0.59728,0.64639,0.62667,0.63536
training_sensation_10_prefix_sd_coreset,3,0.49839,0.57073,0.62584,0.67434,0.67001,0.64916,0.64343,0.6244,0.63253,0.66446
training_sensation_10_prefix_sd_entropy,1,0.54325,0.55505,0.59438,0.59158,0.60125,0.55845,0.56392,0.65708,0.66717,0.67378
training_sensation_10_prefix_sd_entropy,2,0.51299,0.57593,0.6049,0.60412,0.6063,0.64468,0.59901,0.64537,0.65848,0.63554
training_sensation_10_prefix_sd_entropy,3,0.49839,0.58713,0.61544,0.61628,0.65857,0.65738,0.65562,0.68017,0.677,0.67336
training_sensation_10_prefix_sd_random,1,0.54325,0.55048,0.52727,0.55911,0.56894,0.5859,0.60111,0.60926,0.61541,0.61822
training_sensation_10_prefix_sd_random,2,0.5,0.5,0.51628,0.56879,0.62043,0.58315,0.54949,0.58175,0.61801,0.59928
training_sensation_10_prefix_sd_random,3,0.56956,0.54158,0.58366,0.58366,0.59262,0.59361,0.60084,0.65015,0.65484,0.65099
training_sensation_10_prefix_sds2_coreset,1,0.4911,0.50033,0.49191,0.58698,0.55173,0.56894,0.60789,0.60556,0.60612,0.58802
training_sensation_10_prefix_sds2_coreset,2,0.51299,0.56458,0.55266,0.61831,0.59755,0.60203,0.57004,0.59809,0.63184,0.65603
training_sensation_10_prefix_sds2_coreset,3,0.49839,0.49059,0.57204,0.58163,0.60245,0.58471,0.61452,0.61129,0.63922,0.67261
training_sensation_10_prefix_sds2_entropy,1,0.54325,0.57566,0.56063,0.54737,0.5135,0.56631,0.61198,0.59872,0.62572,0.63008
training_sensation_10_prefix_sds2_entropy,2,0.51299,0.5144,0.58728,0.583,0.59788,0.63695,0.58946,0.64725,0.62354,0.65069
training_sensation_10_prefix_sds2_entropy,3,0.49839,0.57139,0.59543,0.58835,0.61795,0.61858,0.6319,0.62664,0.64964,0.66613
training_sensation_10_prefix_sds2_random,1,0.54325,0.53841,0.51562,0.55224,0.5718,0.54486,0.59537,0.60146,0.6129,0.64516
training_sensation_10_prefix_sds2_random,2,0.5,0.5,0.49068,0.533,0.56275,0.53841,0.5572,0.56676,0.59241,0.60125
training_sensation_10_prefix_sds2_random,3,0.56956,0.56186,0.55287,0.59854,0.60765,0.58674,0.63527,0.62139,0.64152,0.62419
