experiment,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9
tuning_sensation_sds2_a0.25_l0.1_k0.1_r0.01,0.40431,0.73206,0.73206,0.74402,0.69139,0.71531,0.70574,0.68421,0.70574,0.72727
tuning_sensation_sds2_a0.25_l0.1_k0.1_r0.02,0.40431,0.73206,0.74163,0.73684,0.72727,0.70096,0.72967,0.72727,0.72249,0.7177
tuning_sensation_sds2_a0.25_l0.1_k1_r0.01,0.40431,0.70574,0.72488,0.70813,0.72249,0.72727,0.70813,0.70574,0.71053,0.70813
tuning_sensation_sds2_a0.25_l0.1_k1_r0.02,0.40431,0.70574,0.7177,0.72727,0.73923,0.74402,0.7512,0.7488,0.73923,0.72727
tuning_sensation_sds2_a0.25_l10_k0.1_r0.01,0.40431,0.67464,0.68182,0.66986,0.689,0.69617,0.689,0.69378,0.6866,0.70335
tuning_sensation_sds2_a0.25_l10_k0.1_r0.02,0.40431,0.67464,0.70574,0.66986,0.69139,0.70813,0.70574,0.70335,0.70813,0.73206
tuning_sensation_sds2_a0.25_l10_k1_r0.01,0.40431,0.67943,0.71053,0.69139,0.67703,0.66746,0.6866,0.68182,0.689,0.69617
tuning_sensation_sds2_a0.25_l10_k1_r0.02,0.40431,0.67943,0.71531,0.70813,0.70096,0.72488,0.72249,0.72488,0.72488,0.70096
tuning_sensation_sds2_a0.25_l1_k0.1_r0.01,0.40431,0.6866,0.66268,0.6555,0.64833,0.66507,0.689,0.68182,0.70096,0.70813
tuning_sensation_sds2_a0.25_l1_k0.1_r0.02,0.40431,0.6866,0.71292,0.68182,0.71292,0.7201,0.71053,0.72488,0.689,0.70813
tuning_sensation_sds2_a0.25_l1_k1_r0.01,0.40431,0.7201,0.71292,0.71531,0.71531,0.72967,0.72727,0.7177,0.73923,0.73445
tuning_sensation_sds2_a0.25_l1_k1_r0.02,0.40431,0.7201,0.74402,0.72488,0.71053,0.70335,0.69856,0.73445,0.72727,0.71531
tuning_sensation_sds2_a0.5_l0.1_k0.1_r0.01,0.40431,0.71292,0.73684,0.73923,0.7512,0.72967,0.74402,0.75359,0.74641,0.76077
tuning_sensation_sds2_a0.5_l0.1_k0.1_r0.02,0.40431,0.71292,0.72727,0.7201,0.7201,0.7201,0.70574,0.70574,0.71292,0.67225
tuning_sensation_sds2_a0.5_l0.1_k1_r0.01,0.40431,0.71531,0.70096,0.71531,0.70574,0.72488,0.73923,0.76794,0.76077,0.72967
tuning_sensation_sds2_a0.5_l0.1_k1_r0.02,0.40431,0.71531,0.69617,0.70335,0.67943,0.68182,0.6555,0.70096,0.67703,0.68421
tuning_sensation_sds2_a0.5_l10_k0.1_r0.01,0.40431,0.70096,0.70574,0.70574,0.66986,0.72249,0.73923,0.7201,0.72488,0.73923
tuning_sensation_sds2_a0.5_l10_k0.1_r0.02,0.40431,0.70096,0.71531,0.72488,0.73206,0.71531,0.73206,0.71292,0.73445,0.72727
tuning_sensation_sds2_a0.5_l10_k1_r0.01,0.40431,0.66029,0.72727,0.70813,0.72249,0.72967,0.75598,0.73206,0.7512,0.76316
tuning_sensation_sds2_a0.5_l10_k1_r0.02,0.40431,0.66029,0.73684,0.71053,0.73684,0.72488,0.76316,0.75359,0.75359,0.73445
tuning_sensation_sds2_a0.5_l1_k0.1_r0.01,0.40431,0.70096,0.69856,0.61244,0.6866,0.71292,0.70096,0.7177,0.71053,0.71531
tuning_sensation_sds2_a0.5_l1_k0.1_r0.02,0.40431,0.70096,0.71531,0.72727,0.73684,0.70335,0.70574,0.72488,0.71292,0.71292
tuning_sensation_sds2_a0.5_l1_k1_r0.01,0.40431,0.71053,0.74641,0.74402,0.73445,0.69856,0.67943,0.71531,0.71292,0.72727
tuning_sensation_sds2_a0.5_l1_k1_r0.02,0.40431,0.71053,0.74641,0.70813,0.73445,0.72249,0.72967,0.72488,0.73923,0.7512
tuning_sensation_sds2_a0.75_l0.1_k0.1_r0.01,0.40431,0.73684,0.74163,0.74163,0.73445,0.72727,0.73684,0.77273,0.76794,0.75837
tuning_sensation_sds2_a0.75_l0.1_k0.1_r0.02,0.40431,0.73684,0.74163,0.7201,0.69617,0.70096,0.71292,0.7177,0.71531,0.70335
tuning_sensation_sds2_a0.75_l0.1_k1_r0.01,0.40431,0.72249,0.74163,0.73206,0.73923,0.7201,0.7512,0.7823,0.76077,0.7512
tuning_sensation_sds2_a0.75_l0.1_k1_r0.02,0.40431,0.72249,0.74163,0.74163,0.73445,0.73445,0.73206,0.72488,0.73923,0.73923
tuning_sensation_sds2_a0.75_l10_k0.1_r0.01,0.40431,0.7177,0.74163,0.74641,0.74163,0.73684,0.73445,0.73684,0.7488,0.73206
tuning_sensation_sds2_a0.75_l10_k0.1_r0.02,0.40431,0.7177,0.74402,0.70574,0.7201,0.72727,0.73923,0.75837,0.75598,0.77512
tuning_sensation_sds2_a0.75_l10_k1_r0.01,0.40431,0.7201,0.69856,0.72488,0.72249,0.7177,0.72488,0.71292,0.7488,0.74402
tuning_sensation_sds2_a0.75_l10_k1_r0.02,0.40431,0.7201,0.73445,0.74402,0.72249,0.72488,0.73923,0.73923,0.73445,0.73445
tuning_sensation_sds2_a0.75_l1_k0.1_r0.01,0.40431,0.72967,0.73923,0.74641,0.70335,0.72488,0.73206,0.7512,0.75837,0.76077
tuning_sensation_sds2_a0.75_l1_k0.1_r0.02,0.40431,0.72967,0.74163,0.74402,0.74641,0.76316,0.74163,0.72967,0.73206,0.71053
tuning_sensation_sds2_a0.75_l1_k1_r0.01,0.40431,0.72727,0.71531,0.74402,0.73445,0.75359,0.73684,0.75359,0.7488,0.7488
tuning_sensation_sds2_a0.75_l1_k1_r0.02,0.40431,0.72727,0.72249,0.71053,0.72249,0.69139,0.7201,0.72727,0.72488,0.73684
