experiment,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9
tuning_sensation_sds2_a0.25_l1_k1_r0.01,0.49624,0.51439,0.55066,0.52792,0.58403,0.60015,0.61648,0.59848,0.63388,0.63281
tuning_sensation_sds2_a0.25_l1_k1_r0.02,0.49624,0.51439,0.8717,0.55405,0.60189,0.5661,0.58203,0.6294,0.61025,0.61265
tuning_sensation_sds2_a0.5_l0.1_k0.1_r0.01,0.49624,0.49556,0.37019,0.62294,0.65995,0.62166,0.65053,0.66712,0.65434,0.67956
tuning_sensation_sds2_a0.5_l0.1_k0.1_r0.02,0.49624,0.49556,0.51414,0.58484,0.61842,0.64107,0.62799,0.64378,0.62844,0.61767
tuning_sensation_sds2_a0.5_l0.1_k1_r0.01,0.49624,0.52792,0.51306,0.56338,0.56948,0.61879,0.64036,0.69669,0.68032,0.64176
tuning_sensation_sds2_a0.5_l0.1_k1_r0.02,0.49624,0.52792,0.55348,0.6045,0.60278,0.60285,0.59093,0.62385,0.62463,0.61014
tuning_sensation_sds2_a0.5_l10_k0.1_r0.01,0.49624,0.53424,0.51492,0.54622,0.53032,0.58941,0.63013,0.60736,0.60054,0.62819
tuning_sensation_sds2_a0.5_l10_k0.1_r0.02,0.49624,0.53424,0.5115,0.5893,0.61451,0.61265,0.62421,0.60124,0.62085,0.61938
tuning_sensation_sds2_a0.5_l10_k1_r0.01,0.49624,0.52134,0.57207,0.60613,0.61849,0.60969,0.67043,0.61295,0.66079,0.68887
tuning_sensation_sds2_a0.5_l10_k1_r0.02,0.49624,0.52134,0.59313,0.58151,0.62587,0.62165,0.68887,0.66534,0.66609,0.64058
tuning_sensation_sds2_a0.5_l1_k0.1_r0.01,0.49624,0.5386,0.52583,0.54356,0.5538,0.57209,0.56564,0.60575,0.59244,0.60255
tuning_sensation_sds2_a0.5_l1_k0.1_r0.02,0.49624,0.5386,0.53468,0.58007,0.62587,0.55702,0.58191,0.60248,0.5549,0.56247
tuning_sensation_sds2_a0.5_l1_k1_r0.01,0.49624,0.51725,0.8726,0.8717,0.60436,0.53057,0.56894,0.60073,0.59942,0.57207
tuning_sensation_sds2_a0.5_l1_k1_r0.02,0.49624,0.51725,0.8726,0.51239,0.5383,0.55293,0.5979,0.58663,0.63295,0.66111
tuning_sensation_sds2_a0.75_l0.1_k0.1_r0.01,0.49624,0.57255,0.37081,0.625,0.5383,0.57207,0.60607,0.7332,0.69575,0.67508
tuning_sensation_sds2_a0.75_l0.1_k0.1_r0.02,0.49624,0.57255,0.37081,0.57936,0.57005,0.58477,0.58949,0.61856,0.61104,0.6045
tuning_sensation_sds2_a0.75_l0.1_k1_r0.01,0.49624,0.52186,0.37081,0.45348,0.59508,0.55714,0.66079,0.738,0.69079,0.65994
tuning_sensation_sds2_a0.75_l0.1_k1_r0.02,0.49624,0.52186,0.37081,0.37081,0.59946,0.63504,0.63513,0.63251,0.63758,0.64223
tuning_sensation_sds2_a0.75_l10_k0.1_r0.01,0.49624,0.4956,0.62139,0.74819,0.62139,0.57255,0.60649,0.60063,0.65407,0.6216
tuning_sensation_sds2_a0.75_l10_k0.1_r0.02,0.49624,0.4956,0.8717,0.48068,0.58974,0.62079,0.63666,0.68128,0.67092,0.72125
tuning_sensation_sds2_a0.75_l10_k1_r0.01,0.49624,0.51439,0.50263,0.5043,0.57141,0.61705,0.61879,0.60478,0.65826,0.64435
tuning_sensation_sds2_a0.75_l10_k1_r0.02,0.49624,0.51439,0.5139,0.65186,0.52186,0.57359,0.62406,0.63295,0.62587,0.62085
tuning_sensation_sds2_a0.75_l1_k0.1_r0.01,0.49624,0.53888,0.3705,0.8726,0.57884,0.5964,0.62421,0.66052,0.68444,0.68127
tuning_sensation_sds2_a0.75_l1_k0.1_r0.02,0.49624,0.53888,0.37081,0.70562,0.65434,0.68623,0.6468,0.64544,0.64214,0.62001
tuning_sensation_sds2_a0.75_l1_k1_r0.01,0.49624,0.52814,0.56338,0.65919,0.56515,0.66859,0.62354,0.66961,0.65482,0.65482
tuning_sensation_sds2_a0.75_l1_k1_r0.02,0.49624,0.52814,0.55833,0.57653,0.6124,0.59827,0.63968,0.64545,0.6404,0.649
