experiment,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9
tuning_trec_sds2_a0.1_l0.1_k1_r0.01,0.30953,0.5095,0.70266,0.70263,0.7536,0.7669,0.78032,0.79117,0.80003,0.80216
tuning_trec_sds2_a0.1_l0.1_k1_r0.02,0.30953,0.5095,0.7026,0.73588,0.77997,0.79535,0.77351,0.80865,0.79102,0.85032
tuning_trec_sds2_a0.1_l10_k0.1_r0.01,0.30953,0.48064,0.70266,0.69582,0.73588,0.73146,0.79947,0.86126,0.85251,0.88541
tuning_trec_sds2_a0.1_l10_k0.1_r0.02,0.30953,0.48064,0.70275,0.73365,0.79751,0.83272,0.84588,0.80202,0.87219,0.89006
tuning_trec_sds2_a0.1_l10_k1_r0.01,0.30953,0.4695,0.6805,0.71368,0.76231,0.81287,0.80202,0.8395,0.82406,0.88114
tuning_trec_sds2_a0.1_l10_k1_r0.02,0.30953,0.4695,0.6938,0.71596,0.72497,0.75137,0.79547,0.80635,0.80874,0.83079
tuning_trec_sds2_a0.1_l1_k0.1_r0.01,0.30953,0.49848,0.67596,0.73591,0.74924,0.77371,0.76257,0.80003,0.76901,0.76699
tuning_trec_sds2_a0.1_l1_k0.1_r0.02,0.30953,0.49848,0.68711,0.72921,0.77553,0.80211,0.84585,0.82395,0.87886,0.88333
tuning_trec_sds2_a0.1_l1_k1_r0.01,0.30953,0.48506,0.67825,0.74035,0.74716,0.74482,0.76477,0.76702,0.79114,0.78681
tuning_trec_sds2_a0.1_l1_k1_r0.02,0.30953,0.48506,0.69374,0.74269,0.74693,0.83269,0.82184,0.81962,0.81532,0.83515
tuning_trec_sds2_a0.25_l0.1_k0.1_r0.01,0.30953,0.50509,0.6605,0.72257,0.74705,0.75365,0.74485,0.76482,0.77374,0.77146
tuning_trec_sds2_a0.25_l0.1_k0.1_r0.02,0.30953,0.50509,0.68044,0.71155,0.72702,0.75143,0.75146,0.80453,0.81757,0.89222
tuning_trec_sds2_a0.25_l0.1_k1_r0.01,0.30953,0.50953,0.68491,0.70488,0.75368,0.7693,0.74933,0.77114,0.79105,0.80886
tuning_trec_sds2_a0.25_l0.1_k1_r0.02,0.30953,0.50953,0.68488,0.72263,0.72488,0.73822,0.77792,0.79108,0.87675,0.87243
tuning_trec_sds2_a0.25_l10_k0.1_r0.01,0.30953,0.48731,0.67822,0.70918,0.75365,0.73819,0.75135,0.79991,0.79333,0.86143
tuning_trec_sds2_a0.25_l10_k0.1_r0.02,0.30953,0.48731,0.68711,0.73807,0.76237,0.80833,0.83041,0.81076,0.83275,0.85056
tuning_trec_sds2_a0.25_l10_k1_r0.01,0.30953,0.48509,0.68942,0.73374,0.72699,0.76035,0.77582,0.76912,0.7869,0.85474
tuning_trec_sds2_a0.25_l10_k1_r0.02,0.30953,0.48509,0.70044,0.71816,0.77108,0.81728,0.8326,0.84383,0.82854,0.87246
tuning_trec_sds2_a0.25_l1_k0.1_r0.01,0.30953,0.50079,0.67596,0.73146,0.74699,0.75137,0.76702,0.7581,0.76719,0.78453
tuning_trec_sds2_a0.25_l1_k0.1_r0.02,0.30953,0.50079,0.68725,0.72921,0.74696,0.76892,0.81287,0.83269,0.82833,0.85263
tuning_trec_sds2_a0.25_l1_k1_r0.01,0.30953,0.4895,0.69816,0.70927,0.75582,0.76895,0.78655,0.80415,0.77576,0.85465
tuning_trec_sds2_a0.25_l1_k1_r0.02,0.30953,0.4895,0.69377,0.7448,0.7448,0.76246,0.83275,0.85249,0.82187,0.87023
tuning_trec_sds2_a0.5_l0.1_k0.1_r0.01,0.30953,0.48298,0.69164,0.74254,0.72705,0.74696,0.74482,0.74933,0.76246,0.76032
tuning_trec_sds2_a0.5_l0.1_k0.1_r0.02,0.30953,0.48298,0.70711,0.71819,0.72702,0.74477,0.77982,0.82196,0.8088,0.8219
tuning_trec_sds2_a0.5_l0.1_k1_r0.01,0.30953,0.47848,0.68936,0.69591,0.72263,0.7557,0.80629,0.78225,0.79775,0.8569
tuning_trec_sds2_a0.5_l0.1_k1_r0.02,0.30953,0.47848,0.68488,0.71816,0.74699,0.75591,0.77778,0.77336,0.80199,0.81295
tuning_trec_sds2_a0.5_l10_k0.1_r0.01,0.30953,0.47401,0.69819,0.7048,0.73588,0.76687,0.81713,0.79082,0.84804,0.87904
tuning_trec_sds2_a0.5_l10_k0.1_r0.02,0.30953,0.47401,0.68716,0.72266,0.73573,0.75553,0.80412,0.85693,0.86135,0.85933
tuning_trec_sds2_a0.5_l10_k1_r0.01,0.30953,0.47401,0.69836,0.70921,0.74918,0.7226,0.75591,0.76711,0.78453,0.84167
tuning_trec_sds2_a0.5_l10_k1_r0.02,0.30953,0.47401,0.68497,0.72924,0.72933,0.72713,0.75365,0.77348,0.80658,0.87237
tuning_trec_sds2_a0.5_l1_k0.1_r0.01,0.30953,0.48962,0.6893,0.71149,0.71813,0.71368,0.7626,0.71146,0.75377,0.7714
tuning_trec_sds2_a0.5_l1_k0.1_r0.02,0.30953,0.48962,0.68266,0.73588,0.74924,0.75789,0.77556,0.80216,0.82187,0.84614
tuning_trec_sds2_a0.5_l1_k1_r0.01,0.30953,0.47626,0.68713,0.72041,0.72266,0.74254,0.76491,0.74702,0.75594,0.7648
tuning_trec_sds2_a0.5_l1_k1_r0.02,0.30953,0.47626,0.6938,0.73146,0.73368,0.74266,0.75599,0.81968,0.87901,0.87678
tuning_trec_sds2_a0.75_l0.1_k0.1_r0.01,0.30953,0.45854,0.66512,0.69368,0.70485,0.69594,0.73602,0.72705,0.7648,0.74041
tuning_trec_sds2_a0.75_l0.1_k0.1_r0.02,0.30953,0.45854,0.66722,0.72266,0.70269,0.72939,0.74038,0.76904,0.76035,0.78029
tuning_trec_sds2_a0.75_l0.1_k1_r0.01,0.30953,0.45181,0.64284,0.69819,0.73351,0.74003,0.7733,0.74222,0.79532,0.81529
tuning_trec_sds2_a0.75_l0.1_k1_r0.02,0.30953,0.45181,0.65164,0.71591,0.69377,0.74898,0.76658,0.86123,0.87012,0.8702
tuning_trec_sds2_a0.75_l10_k0.1_r0.01,0.30953,0.46292,0.62956,0.68038,0.70711,0.69374,0.81471,0.81699,0.82813,0.84126
tuning_trec_sds2_a0.75_l10_k0.1_r0.02,0.30953,0.46292,0.64284,0.70719,0.72257,0.73377,0.74257,0.80836,0.77538,0.84827
tuning_trec_sds2_a0.75_l10_k1_r0.01,0.30953,0.45193,0.64287,0.67383,0.71819,0.69807,0.73599,0.7226,0.74708,0.75819
tuning_trec_sds2_a0.75_l10_k1_r0.02,0.30953,0.45193,0.65833,0.71368,0.70936,0.70933,0.72491,0.75822,0.74494,0.78243
tuning_trec_sds2_a0.75_l1_k0.1_r0.01,0.30953,0.46298,0.63187,0.6848,0.70722,0.73371,0.73155,0.72705,0.72953,0.73588
tuning_trec_sds2_a0.75_l1_k0.1_r0.02,0.30953,0.46298,0.65395,0.71146,0.69158,0.72702,0.72702,0.75605,0.75591,0.79775
tuning_trec_sds2_a0.75_l1_k1_r0.01,0.30953,0.45851,0.66085,0.70263,0.71822,0.7248,0.73594,0.7581,0.76263,0.76257
tuning_trec_sds2_a0.75_l1_k1_r0.02,0.30953,0.45851,0.65406,0.69816,0.6738,0.71594,0.8062,0.83018,0.86132,0.84135
