experiment,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9
tuning_trec_der_a0.75_b1_r0.01,0.30973,0.38938,0.55531,0.58628,0.66814,0.72345,0.75221,0.7323,0.75885,0.74558
tuning_trec_der_a0.75_b1_r0.02,0.30973,0.38938,0.61947,0.64602,0.68584,0.6969,0.6969,0.75664,0.76549,0.74336
tuning_trec_sd_a0.1_r0.01,0.30973,0.50885,0.68584,0.7146,0.74779,0.75442,0.76991,0.77434,0.80973,0.80752
tuning_trec_sd_a0.1_r0.02,0.30973,0.50885,0.69469,0.7146,0.73894,0.81858,0.80973,0.82743,0.85177,0.8208
tuning_trec_sd_a0.25_r0.01,0.30973,0.50885,0.66593,0.71681,0.74779,0.74115,0.76549,0.77434,0.78761,0.81416
tuning_trec_sd_a0.25_r0.02,0.30973,0.50885,0.68363,0.71681,0.73894,0.74779,0.79204,0.79425,0.80752,0.84513
tuning_trec_sd_a0.5_r0.01,0.30973,0.48451,0.66593,0.6969,0.70133,0.73894,0.77212,0.76991,0.78761,0.76106
tuning_trec_sd_a0.5_r0.02,0.30973,0.48451,0.67478,0.70575,0.72566,0.79867,0.83186,0.83628,0.88274,0.87168
tuning_trec_sd_a0.75_r0.01,0.30973,0.4646,0.5885,0.69027,0.68584,0.72345,0.72566,0.75885,0.76549,0.72345
tuning_trec_sd_a0.75_r0.02,0.30973,0.4646,0.62389,0.68363,0.71018,0.71681,0.74779,0.75,0.75885,0.76327
tuning_trec_sds2_a0.1_l0.1_k0.1_r0.01,0.30973,0.51106,0.70133,0.73009,0.82301,0.74779,0.81858,0.87389,0.8208,0.80088
tuning_trec_sds2_a0.1_l0.1_k0.1_r0.02,0.30973,0.51106,0.70575,0.71903,0.76991,0.79646,0.82522,0.84292,0.84071,0.87389
tuning_trec_sds2_a0.1_l0.1_k1_r0.01,0.30973,0.50885,0.70133,0.70133,0.75221,0.76549,0.77876,0.78982,0.79867,0.80088
tuning_trec_sds2_a0.1_l0.1_k1_r0.02,0.30973,0.50885,0.70133,0.73451,0.77876,0.79425,0.77212,0.80752,0.78982,0.84956
tuning_trec_sds2_a0.1_l10_k0.1_r0.01,0.30973,0.48009,0.70133,0.69469,0.73451,0.73009,0.79867,0.86062,0.85177,0.88496
tuning_trec_sds2_a0.1_l10_k0.1_r0.02,0.30973,0.48009,0.70133,0.7323,0.79646,0.83186,0.84513,0.80088,0.87168,0.88938
tuning_trec_sds2_a0.1_l10_k1_r0.01,0.30973,0.46903,0.6792,0.71239,0.76106,0.81195,0.80088,0.8385,0.82301,0.88053
tuning_trec_sds2_a0.1_l10_k1_r0.02,0.30973,0.46903,0.69248,0.7146,0.72345,0.75,0.79425,0.80531,0.80752,0.82965
tuning_trec_sds2_a0.1_l1_k0.1_r0.01,0.30973,0.49779,0.67478,0.73451,0.74779,0.77212,0.76106,0.79867,0.7677,0.76549
tuning_trec_sds2_a0.1_l1_k0.1_r0.02,0.30973,0.49779,0.68584,0.72788,0.77434,0.80088,0.84513,0.82301,0.87832,0.88274
tuning_trec_sds2_a0.1_l1_k1_r0.01,0.30973,0.48451,0.67699,0.73894,0.74558,0.74336,0.76327,0.76549,0.78982,0.7854
tuning_trec_sds2_a0.1_l1_k1_r0.02,0.30973,0.48451,0.69248,0.74115,0.74558,0.83186,0.8208,0.81858,0.81416,0.83407
tuning_trec_sds2_a0.25_l0.1_k0.1_r0.01,0.30973,0.50442,0.65929,0.72124,0.74558,0.75221,0.74336,0.76327,0.77212,0.76991
tuning_trec_sds2_a0.25_l0.1_k0.1_r0.02,0.30973,0.50442,0.6792,0.71018,0.72566,0.75,0.75,0.8031,0.81637,0.89159
tuning_trec_sds2_a0.25_l0.1_k1_r0.01,0.30973,0.50885,0.68363,0.70354,0.75221,0.7677,0.74779,0.76991,0.78982,0.80752
tuning_trec_sds2_a0.25_l0.1_k1_r0.02,0.30973,0.50885,0.68363,0.72124,0.72345,0.73673,0.77655,0.78982,0.87611,0.87168
tuning_trec_sds2_a0.25_l10_k0.1_r0.01,0.30973,0.48673,0.67699,0.70796,0.75221,0.73673,0.75,0.79867,0.79204,0.86062
tuning_trec_sds2_a0.25_l10_k0.1_r0.02,0.30973,0.48673,0.68584,0.73673,0.76106,0.80752,0.82965,0.80973,0.83186,0.84956
tuning_trec_sds2_a0.25_l10_k1_r0.01,0.30973,0.48451,0.68805,0.7323,0.72566,0.75885,0.77434,0.7677,0.7854,0.85398
tuning_trec_sds2_a0.25_l10_k1_r0.02,0.30973,0.48451,0.69912,0.71681,0.76991,0.81637,0.83186,0.84292,0.82743,0.87168
tuning_trec_sds2_a0.25_l1_k0.1_r0.01,0.30973,0.5,0.67478,0.73009,0.74558,0.75,0.76549,0.75664,0.76549,0.78319
tuning_trec_sds2_a0.25_l1_k0.1_r0.02,0.30973,0.5,0.68584,0.72788,0.74558,0.7677,0.81195,0.83186,0.82743,0.85177
tuning_trec_sds2_a0.25_l1_k1_r0.01,0.30973,0.48894,0.6969,0.70796,0.75442,0.7677,0.7854,0.8031,0.77434,0.85398
tuning_trec_sds2_a0.25_l1_k1_r0.02,0.30973,0.48894,0.69248,0.74336,0.74336,0.76106,0.83186,0.85177,0.8208,0.86947
tuning_trec_sds2_a0.5_l0.1_k0.1_r0.01,0.30973,0.4823,0.69027,0.74115,0.72566,0.74558,0.74336,0.74779,0.76106,0.75885
tuning_trec_sds2_a0.5_l0.1_k0.1_r0.02,0.30973,0.4823,0.70575,0.71681,0.72566,0.74336,0.77876,0.8208,0.80752,0.8208
tuning_trec_sds2_a0.5_l0.1_k1_r0.01,0.30973,0.47788,0.68805,0.69469,0.72124,0.75442,0.80531,0.78097,0.79646,0.85619
tuning_trec_sds2_a0.5_l0.1_k1_r0.02,0.30973,0.47788,0.68363,0.71681,0.74558,0.75442,0.77655,0.77212,0.80088,0.81195
tuning_trec_sds2_a0.5_l10_k0.1_r0.01,0.30973,0.47345,0.6969,0.70354,0.73451,0.76549,0.81637,0.78982,0.84735,0.87832
tuning_trec_sds2_a0.5_l10_k0.1_r0.02,0.30973,0.47345,0.68584,0.72124,0.73451,0.75442,0.8031,0.85619,0.86062,0.85841
tuning_trec_sds2_a0.5_l10_k1_r0.01,0.30973,0.47345,0.6969,0.70796,0.74779,0.72124,0.75442,0.76549,0.78319,0.84071
tuning_trec_sds2_a0.5_l10_k1_r0.02,0.30973,0.47345,0.68363,0.72788,0.72788,0.72566,0.75221,0.77212,0.80531,0.87168
tuning_trec_sds2_a0.5_l1_k0.1_r0.01,0.30973,0.48894,0.68805,0.71018,0.71681,0.71239,0.76106,0.71018,0.75221,0.76991
tuning_trec_sds2_a0.5_l1_k0.1_r0.02,0.30973,0.48894,0.68142,0.73451,0.74779,0.75664,0.77434,0.80088,0.8208,0.84513
tuning_trec_sds2_a0.5_l1_k1_r0.01,0.30973,0.47566,0.68584,0.71903,0.72124,0.74115,0.76327,0.74558,0.75442,0.76327
tuning_trec_sds2_a0.5_l1_k1_r0.02,0.30973,0.47566,0.69248,0.73009,0.7323,0.74115,0.75442,0.81858,0.87832,0.87611
tuning_trec_sds2_a0.75_l0.1_k0.1_r0.01,0.30973,0.45796,0.66372,0.69248,0.70354,0.69469,0.73451,0.72566,0.76327,0.73894
tuning_trec_sds2_a0.75_l0.1_k0.1_r0.02,0.30973,0.45796,0.66593,0.72124,0.70133,0.72788,0.73894,0.7677,0.75885,0.77876
tuning_trec_sds2_a0.75_l0.1_k1_r0.01,0.30973,0.45133,0.64159,0.6969,0.7323,0.73894,0.77212,0.74115,0.79425,0.81416
tuning_trec_sds2_a0.75_l0.1_k1_r0.02,0.30973,0.45133,0.65044,0.7146,0.69248,0.74779,0.76549,0.86062,0.86947,0.86947
tuning_trec_sds2_a0.75_l10_k0.1_r0.01,0.30973,0.46239,0.62832,0.6792,0.70575,0.69248,0.81416,0.81637,0.82743,0.84071
tuning_trec_sds2_a0.75_l10_k0.1_r0.02,0.30973,0.46239,0.64159,0.70575,0.72124,0.7323,0.74115,0.80752,0.77434,0.84735
tuning_trec_sds2_a0.75_l10_k1_r0.01,0.30973,0.45133,0.64159,0.67257,0.71681,0.6969,0.73451,0.72124,0.74558,0.75664
tuning_trec_sds2_a0.75_l10_k1_r0.02,0.30973,0.45133,0.65708,0.71239,0.70796,0.70796,0.72345,0.75664,0.74336,0.78097
tuning_trec_sds2_a0.75_l1_k0.1_r0.01,0.30973,0.46239,0.63053,0.68363,0.70575,0.7323,0.73009,0.72566,0.72788,0.73451
tuning_trec_sds2_a0.75_l1_k0.1_r0.02,0.30973,0.46239,0.65265,0.71018,0.69027,0.72566,0.72566,0.75442,0.75442,0.79646
tuning_trec_sds2_a0.75_l1_k1_r0.01,0.30973,0.45796,0.65929,0.70133,0.71681,0.72345,0.73451,0.75664,0.76106,0.76106
tuning_trec_sds2_a0.75_l1_k1_r0.02,0.30973,0.45796,0.65265,0.6969,0.67257,0.7146,0.80531,0.82965,0.86062,0.84071
