experiment,run,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9
training_trec_10_prefix_sd_coreset,2,0.5207,0.73167,0.72751,0.75605,0.7583,0.75143,0.76927,0.75596,0.77146,0.78254
training_trec_10_prefix_sd_coreset,3,0.61611,0.70287,0.72716,0.74053,0.7583,0.76041,0.78459,0.83056,0.78675,0.77579
training_trec_10_prefix_sd_entropy,1,0.51418,0.65813,0.73594,0.73164,0.74722,0.75819,0.76708,0.75836,0.77164,0.76936
training_trec_10_prefix_sd_entropy,2,0.5207,0.685,0.71167,0.72716,0.75599,0.75389,0.7693,0.76047,0.77368,0.88342
training_trec_10_prefix_sd_entropy,3,0.61611,0.69605,0.70716,0.74716,0.76263,0.76716,0.77143,0.77149,0.77158,0.78468
training_trec_10_prefix_sd_random,1,0.51418,0.72661,0.72266,0.72026,0.75582,0.78901,0.78006,0.79336,0.78462,0.83287
training_trec_10_prefix_sd_random,2,0.5407,0.74652,0.7576,0.75769,0.80632,0.79333,0.79327,0.80655,0.82635,0.84181
training_trec_10_prefix_sd_random,3,0.56947,0.7333,0.75553,0.7667,0.77135,0.80199,0.8307,0.79541,0.80865,0.84822
training_trec_10_prefix_sds2_coreset,1,0.46094,0.6914,0.76015,0.84374,0.83278,0.76909,0.83921,0.80196,0.85924,0.82196
training_trec_10_prefix_sds2_coreset,2,0.5207,0.72275,0.73392,0.74944,0.76497,0.77152,0.77365,0.76933,0.77594,0.78243
training_trec_10_prefix_sds2_coreset,3,0.61611,0.69383,0.75374,0.74933,0.73386,0.75591,0.80202,0.79982,0.88535,0.90096
training_trec_10_prefix_sds2_entropy,1,0.51418,0.70044,0.72494,0.76711,0.77155,0.78263,0.78482,0.77825,0.77152,0.78702
training_trec_10_prefix_sds2_entropy,2,0.5207,0.68275,0.71374,0.73365,0.75365,0.79974,0.88781,0.86778,0.88769,0.88985
training_trec_10_prefix_sds2_entropy,3,0.61611,0.69368,0.74044,0.7583,0.74503,0.75608,0.74947,0.77596,0.78257,0.77822
training_trec_10_prefix_sds2_random,1,0.51418,0.71155,0.7293,0.75333,0.78667,0.77792,0.76018,0.77135,0.78023,0.83298
training_trec_10_prefix_sds2_random,2,0.5407,0.7552,0.75988,0.78626,0.78444,0.83076,0.82623,0.81319,0.79564,0.82181
training_trec_10_prefix_sds2_random,3,0.56947,0.72883,0.73991,0.76208,0.77573,0.80649,0.80863,0.78205,0.79769,0.8788
